Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.706287, 50.868107)",4.7061477344122,50.86906296026731,84.7,4.707775117652224,50.8681348326443,577.0,4.6998331,50.8723536,274.5
"(4.706287, 50.868107)",4.7061477344122,50.86906296026731,84.7,4.707775117652224,50.8681348326443,577.0,4.6998331,50.8723536,274.5
"(4.724486, 50.875134)",4.724226971288245,50.87460083235044,41.5,4.725020571732843,50.874006816313134,102.6,4.7243436,50.8696549,308.7
"(4.724486, 50.875134)",4.724226971288245,50.87460083235044,41.5,4.725020571732843,50.874006816313134,102.6,4.7243436,50.8696549,308.7
"(4.663458, 50.872624)",4.663541574859027,50.87205701722224,64.0,4.663759698811887,50.8771483452952,635.1,4.6658621,50.8774603,435.0
"(4.663458, 50.872624)",4.663541574859027,50.87205701722224,64.0,4.663759698811887,50.8771483452952,635.1,4.6658621,50.8774603,435.0
"(4.724385, 50.888254)",4.723354850064356,50.88792918320212,69.9,4.726009860687879,50.88784182258459,633.3,4.7243436,50.8696549,528.6
"(4.724385, 50.888254)",4.723354850064356,50.88792918320212,69.9,4.726009860687879,50.88784182258459,633.3,4.7243436,50.8696549,528.6
"(4.710888, 50.862229)",4.711039437713856,50.86118087056078,102.5,4.711756128289386,50.861111878471135,169.7,4.6998331,50.8723536,346.2
"(4.710888, 50.862229)",4.711039437713856,50.86118087056078,102.5,4.711756128289386,50.861111878471135,169.7,4.6998331,50.8723536,346.2
"(4.741317, 50.886149)",4.743611628471116,50.88585309020157,121.9,4.739707090398873,50.8841118203058,1080.6,4.7243436,50.8696549,598.5
"(4.741317, 50.886149)",4.743611628471116,50.88585309020157,121.9,4.739707090398873,50.8841118203058,1080.6,4.7243436,50.8696549,598.5
"(4.723903, 50.92664)",4.722146119340628,50.92709009684591,147.7,4.724063519831382,50.92968805202225,340.5,4.6658621,50.8774603,524.3
"(4.723903, 50.92664)",4.722146119340628,50.92709009684591,147.7,4.724063519831382,50.92968805202225,340.5,4.6658621,50.8774603,524.3
"(4.7093, 50.870361)",4.709662361412148,50.87034235430632,14.9,4.708081196039919,50.86903629053143,511.6,4.6998331,50.8723536,310.4
"(4.7093, 50.870361)",4.709662361412148,50.87034235430632,14.9,4.708081196039919,50.86903629053143,511.6,4.6998331,50.8723536,310.4
"(4.715466, 50.881037)",4.717256704947987,50.8809132965691,100.1,4.713089220854134,50.88063134066533,171.1,4.6998331,50.8723536,352.6
"(4.715466, 50.881037)",4.717256704947987,50.8809132965691,100.1,4.713089220854134,50.88063134066533,171.1,4.6998331,50.8723536,352.6
"(4.693275, 50.875681)",4.69412944880058,50.875700543393215,97.0,4.693577508640963,50.87311883568401,907.7,4.6998331,50.8723536,286.8
"(4.695989, 50.865144)",4.696955420921489,50.866943003321154,161.8,4.695789094961701,50.86715774967235,636.8,4.6998331,50.8723536,187.6
"(4.695989, 50.865144)",4.696955420921489,50.866943003321154,161.8,4.695789094961701,50.86715774967235,636.8,4.6998331,50.8723536,187.6
"(4.726644, 50.873674)",4.726798783032348,50.873856169893806,14.8,4.72612680681281,50.87349097889032,179.8,4.7243436,50.8696549,356.1
"(4.726644, 50.873674)",4.726798783032348,50.873856169893806,14.8,4.72612680681281,50.87349097889032,179.8,4.7243436,50.8696549,356.1
"(4.72935, 50.900387)",4.729099186339752,50.90098667107552,65.1,4.72987082425907,50.90144682852888,5000.0,4.6658621,50.8774603,563.4
"(4.690636, 50.876538)",4.68960790526172,50.87659922579723,61.8,4.692352558049546,50.876531083532704,1196.5,4.6998331,50.8723536,256.3
"(4.690636, 50.876538)",4.68960790526172,50.87659922579723,61.8,4.692352558049546,50.876531083532704,1196.5,4.6998331,50.8723536,256.3
"(4.704618, 50.887542)",4.70367101804514,50.88812873713749,112.4,4.70474206917397,50.88593188220241,368.40000000000003,4.6731993,50.8780791,547.8
"(4.704618, 50.887542)",4.70367101804514,50.88812873713749,112.4,4.70474206917397,50.88593188220241,368.40000000000003,4.6731993,50.8780791,547.8
"(4.722256, 50.880999)",4.721090802604881,50.88146518805436,82.2,4.721772880811095,50.88207248770545,706.3,4.7243436,50.8696549,507.5
"(4.73756, 50.862344)",4.737363506346325,50.86131838082693,52.9,No AED,No AED,No AED,4.7243436,50.8696549,374.6
