id;number;postal_code;public;available;Opens;Closes;latitude;longitude;Checked
8786;28;3000;Y;Yes;11:00;18:00;508789497;47045671;Yes
6253;6;3000;N;Private;00:00;00:00;508809818;47086963;Yes
9507;74;3000;N;No;00:00;00:00;508784211;4712977;Yes
2412;63;3000;Y;Yes;08:00;18:00;508786396;47120778;Yes
1424;16;3000;N;Yes;06:00;23:00;508813682;47156895;Yes
;12;3000;N;Yes;20:00;23:00;5088152766;4713713034;Yes
10927;84;3000;Y;couldn't find ;00:00;00:00;5088285204;469864554;Yes
4427;21;3000;N;Yes;09:00;19:00;5087804582;4707239551;Yes
13204;8;3000;Y;Yes;00:00;00:00;5087790232;4696485532;Yes
;13;3000;Y;Yes;08:00;16:00;5087758745;4695671987;Yes
2130;955;3001;Y;couldn't find;00:00;00:00;508470644;46958563;Yes
13210;69;3000;Y;Yes;09:00;22:00;508748296;4700987;Yes
4851;22;3000;N;Yes;08:00;17:45;508778857;47005637;Yes
6539;18;3000;N;Yes;00:00;24:00:00;5087921754;4695612728;Yes
13571;29;3018;Y;Yes;08:30;22:30;509258595;47063333;Yes
9981;2;3012;N;Yes;00:00;24:00:00;509283047;47248107;Yes
10911;5;3010;Y;Yes;00:00;24:00:00;5088498776;4723594454;Yes
3079;193;3010;Y;Yes;08:30;23:00;508674498;47433965;Yes
16184;160;3010;Y;Yes;00:00;24:00:00;508701412;47488553;Yes
806;5;3001;Y;couldn't find;00:00;00:00;50867102;47127446;Yes
2156;6;3001;Y;Yes;07:00;22:30;50867677;47116128;Yes
15682;3A;3001;Y;couldn't find;00:00;00:00;508680749;47119704;Yes
6468;2;3000;N;Yes;09:00;17:00;508791637;4716279;Yes
;1;3000;N;Yes;09:00;17:00;5088032592;4716070787;Yes
994;1;3010;Y;Yes;08:30;17:00;508769717;47168358;Yes
4988;2;3018;Y;;00:00;00:00;5092123675;4700971278;No
7709;4;3018;N;couldn't find;00:00;00:00;;;Yes
3075;21;3000;N;;08:30;22:30;508816687;47031832;Yes
5426;14;3001;N;Company;00:00;00:00;508444703;47370091;Yes
7211;20;3001;N;Company;00:00;00:00;508454605;47381287;Yes
11575;8;3001;Y;Company;00:00;00:00;508455664;47365227;Yes
10571;3;3010;Y;Yes;09:00;17:00;508869565;47296864;Yes
5478;4;3000;N;No;00:00;00:00;508830582;47054199;Yes
535;208;3000;N;;00:00;00:00;508670637;47127525;No
14825;5;3000;Y;Yes;08:00;17:00;508804127;47019874;Yes
5747;5;3000;N;Yes;08:00;17:00;508804127;47019874;Yes
16265;6;3010;N;Yes;08:30;22:30;508825443;47346682;Yes
9132;3;3000;Y;;00:00;00:00;508859605;47044962;No
9783;2;3001;N;Company;00:00;00:00;508528969;47255083;Yes
;11;3001;N;Yes;09:00;18:00;5085354745;4730996898;Yes
3937;8;3001;N;Yes;08:00;17:30;508524681;47300619;Yes
5217;15;3001;N;Company;00:00;00:00;508528664;47343369;Yes
1938;113;3001;Y;;08:00;22:00;508705595;46916883;Yes
15679;101;3001;Y;Yes;08:00;23:00;50868091;4689714;Yes
16198;143;3001;Y;Yes;09:00;17:00;5087080333;4690265616;Yes
427;101;3001;Y;Yes;07:30;22:30;5086957;4692543;Yes
;101;3001;Y;Yes;08:00;23:30;50869218;469209;Yes
;101;3001;Y;Yes;00:00;24:00:00;50867348;4690127;Yes
;145;3001;Y;Yes;07:00;23:30;5087051943;4690824913;Yes
13910;61/2;3010;N;couldn't find ;00:00;00:00;508758104;47080615;Yes
4431;41;3000;N;Yes;08:00;22:00;5087785;470522;Yes
2563;61;3010;Y;Private;00:00;00:00;50874393;47152536;Yes
3336;170;3000;N;Private;00:00;00:00;508744331;47143486;Yes
1052;46;3000;Y;Private;00:00;00:00;508822891;47014411;Yes
12800;9;3000;N;Yes;12:00;13:30;508808505;47020005;Yes
12800;9;3000;N;Yes;18:00;21:00;508808505;47020005;Yes
12929;131;3000;N;Private;00:00;00:00;508851678;47007067;Yes
14787;78;3018;Y;Private;00:00;00:00;5088473118;4700940119;Yes
6086;19;3000;Y;couldn't find ;00:00;00:00;508795773;47056545;Yes
9218;37;3000;Y;Yes;09:30;19:00;508810353;47046611;Yes
15370;;3000;Y;;00:00;00:00;;;No
474;83;3000;Y;Yes;08:00;18:00;508743307;470188;Yes
16196;83;3000;Y;;00:00;00:00;;;No
;3;3000;Y;Yes;00:00;24:00:00;508760908;4705816808;Yes
2334;4;3000;Y;Yes;00:00;24:00:00;508858827;47106457;Yes
12603;40;3001;Y;Yes;08:30;16:30;50858007;4678102;Yes
;40;3001;Y;Yes;08:30;17:00;5086055;4680393;Yes
15298;115;3010;Y;Yes;00:00;24:00:00;508997303;4725975152;Yes
