,Patient_loc,Responder_loc,duration_Responder,route_Responder,Indirect_Responder_loc,AED_loc,duration_AED,route_indirect_Responder,Vector_loc,duration_Vector,route_Vector,prob_vec,prob_resp,patient_loc,responder_loc,aed_loc,vector_loc
259,,,257.1,,No AED,,10000.0,No AED,,241.56,,0.6543051566031353,0.6543051566031353,"(4.658823, 50.864642)","(4.659087743936634, 50.86248126843008)",No AED,"(4.6658621, 50.8774603)"
260,,,10000.0,,No AED,,10000.0,No AED,,240.64,,0.655363059148615,0.655363059148615,"(4.694489, 50.874773)",No responder,No AED,"(4.6998331, 50.8723536)"
261,,,214.3,,No AED,,10000.0,No AED,,342.08,,0.548430114214881,0.6432765199360858,"(4.701629, 50.891841)","(4.702614664118769, 50.88981558120593)",No AED,"(4.6658621, 50.8774603)"
262,,,10000.0,,No AED,,10000.0,No AED,,275.57,,0.6163728094733373,0.6163728094733373,"(4.711828, 50.871651)",No responder,No AED,"(4.6998331, 50.8723536)"
263,,,59.13,,No AED,,10000.0,No AED,,262.19,,0.6310262016214493,0.813087215233336,"(4.686867, 50.879795)","(4.687713080158227, 50.87961546145428)",No AED,"(4.6731993, 50.8780791)"
264,,,157.33,,No AED,,10000.0,No AED,,564.48,,0.37111929013340944,0.616952071746367,"(4.726219, 50.887513)","(4.727904055562061, 50.88597485257435)",No AED,"(4.7243436, 50.8696549)"
265,,,245.49,,No AED,,10000.0,No AED,,545.22,,0.38388547779556487,0.5580863827403784,"(4.731969, 50.897626)","(4.728229768537502, 50.89928447529879)",No AED,"(4.6658621, 50.8774603)"
266,,,516.13,,No AED,,10000.0,No AED,,466.85,,0.4405230041089786,0.4405230041089786,"(4.705642, 50.904784)","(4.704608572000388, 50.89899774059156)",No AED,"(4.6658621, 50.8774603)"
267,,,10000.0,,No AED,,10000.0,No AED,,53.72,,0.9099798872071663,0.9099798872071663,"(4.697661, 50.879028)",No responder,No AED,"(4.6953981, 50.8785355)"
268,,,65.53,,"(4.706371763836498, 50.87693265075111)",,,,,536.06,,0.3901102189635274,,"(4.704816, 50.882573)","(4.704799689894041, 50.88175034823071)","(4.7046611, 50.8810353)","(4.6658621, 50.8774603)"
269,,,10000.0,,No AED,,10000.0,No AED,,316.64,,0.5734855371515215,0.5734855371515215,"(4.709909, 50.862705)",No responder,No AED,"(4.6998331, 50.8723536)"
270,,,10000.0,,No AED,,10000.0,No AED,,164.37,,0.7492855453685885,0.7492855453685885,"(4.696094, 50.866094)",No responder,No AED,"(4.6998331, 50.8723536)"
271,,,192.92,,No AED,,10000.0,No AED,,420.26,,0.47807857754126065,0.6349689904801677,"(4.7069, 50.890692)","(4.708135633290409, 50.89082013253454)",No AED,"(4.6658621, 50.8774603)"
272,,,119.7,,No AED,,10000.0,No AED,,757.54,,0.2644120094478529,0.5862576498992431,"(4.747375, 50.878563)","(4.745259430410427, 50.87795368208202)",No AED,"(4.7243436, 50.8696549)"
273,,,10000.0,,No AED,,10000.0,No AED,,123.32,,0.8052914802383625,0.8052914802383625,"(4.695129, 50.869719)",No responder,No AED,"(4.6998331, 50.8723536)"
274,,,107.08,,No AED,,10000.0,No AED,,363.18,,0.5284816467794529,0.7275711741118159,"(4.703838, 50.891416)","(4.703300638826086, 50.890685048823215)",No AED,"(4.6658621, 50.8774603)"
275,,,10000.0,,No AED,,10000.0,No AED,,560.22,,0.3739058935711453,0.3739058935711453,"(4.703984, 50.879423)",No responder,No AED,"(4.6658621, 50.8774603)"
276,,,18.02,,"(4.706371763836498, 50.87693265075111)",,,,,726.14,,0.27940076876914516,,"(4.707441, 50.879972)","(4.707830418931326, 50.87992222768996)","(4.7046611, 50.8810353)","(4.6998331, 50.8723536)"
277,,,10000.0,,No AED,,10000.0,No AED,,614.43,,0.33995420534882764,0.33995420534882764,"(4.727706, 50.851094)",No responder,No AED,"(4.7243436, 50.8696549)"
278,,,1.37,,"(4.729918990548709, 50.87910372979958)",,,,,552.91,,0.37873644488829455,,"(4.729571, 50.882694)","(4.72961154781103, 50.88279060306706)","(4.7346682, 50.8825443)","(4.7243436, 50.8696549)"
279,,,522.13,,No AED,,10000.0,No AED,,439.69,,0.4620420296238128,0.4620420296238128,"(4.686473, 50.856)","(4.692482083160172, 50.850729994647395)",No AED,"(4.6998331, 50.8723536)"
280,,,357.6,,No AED,,10000.0,No AED,,294.84,,0.595864745981984,0.595864745981984,"(4.722922, 50.903874)","(4.7195717780767055, 50.90223672275838)",No AED,"(4.6658621, 50.8774603)"
281,,,70.85,,No AED,,10000.0,No AED,,312.56,,0.5776090367208925,0.7810484257539322,"(4.718412, 50.880183)","(4.719173310880122, 50.87939848446562)",No AED,"(4.7243436, 50.8696549)"
282,,,10000.0,,No AED,,10000.0,No AED,,397.66,,0.4974330135358531,0.4974330135358531,"(4.674005, 50.872799)",No responder,No AED,"(4.6731993, 50.8780791)"
283,,,35.24,,"(4.706371763836498, 50.87693265075111)",,,,,190.49,,0.7156943582378135,,"(4.700271, 50.878295)","(4.700604278524289, 50.87805217715209)","(4.7046611, 50.8810353)","(4.6998331, 50.8723536)"
284,,,104.95,,No AED,,10000.0,No AED,,309.47,,0.580751700237836,0.7496728353041514,"(4.716582, 50.874602)","(4.7173644259848215, 50.87367790328777)",No AED,"(4.7243436, 50.8696549)"
285,,,172.38,,No AED,,10000.0,No AED,,481.46,,0.42936500349144974,0.631532235666821,"(4.722895, 50.927318)","(4.721617758943576, 50.92822332351649)",No AED,"(4.6658621, 50.8774603)"
286,,,60.2,,No AED,,10000.0,No AED,,373.5,,0.5189907545365695,0.7673904500554355,"(4.684363, 50.871523)","(4.683933031944429, 50.87217193262869)",No AED,"(4.6731993, 50.8780791)"
287,,,120.72,,"(4.711856262832328, 50.922914199412844)",,,,,607.51,,0.34411038683496886,,"(4.711095, 50.923731)","(4.713456640630278, 50.92346952069335)","(4.7063333, 50.9258595)","(4.6658621, 50.8774603)"
288,,,56.44,,No AED,,10000.0,No AED,,225.8,,0.6726657425204388,0.8310333814454995,"(4.708088, 50.873251)","(4.708191458827222, 50.873897419018334)",No AED,"(4.6998331, 50.8723536)"
289,,,10000.0,,No AED,,10000.0,No AED,,718.42,,0.28321422346762204,0.28321422346762204,"(4.703272, 50.928135)",No responder,No AED,"(4.6658621, 50.8774603)"
290,,,10000.0,,No AED,,10000.0,No AED,,603.35,,0.3466333155215458,0.3466333155215458,"(4.736453, 50.882717)",No responder,No AED,"(4.7243436, 50.8696549)"
291,,,515.05,,No AED,,10000.0,No AED,,424.25,,0.4747406395221077,0.4747406395221077,"(4.705274, 50.856459)","(4.702109020085425, 50.86052876098737)",No AED,"(4.6998331, 50.8723536)"
292,,,120.11,,No AED,,10000.0,No AED,,603.53,,0.3465237684407607,0.6336084975938997,"(4.694454, 50.923983)","(4.697238183553209, 50.92383618246734)",No AED,"(4.6658621, 50.8774603)"
293,,,130.0,,"(4.740374525558509, 50.862665589059645)",,,,,550.1,,0.3806098943574019,,"(4.747261, 50.865752)","(4.745543090322225, 50.86671469067621)","(4.7433965, 50.8674498)","(4.7243436, 50.8696549)"
294,,,33.82,,No AED,,10000.0,No AED,,291.51,,0.5993592774137364,0.8267892689523669,"(4.715278, 50.874606)","(4.715447818726576, 50.87412487031244)",No AED,"(4.6998331, 50.8723536)"
