Patient_loc,Responder_lon,Responder_lat,duration_Responder,AED_lon,AED_lat,duration_AED,Vector_lon,Vector_lat,duration_Vector
"(4.688853, 50.879023)",4.688686997450124,50.87960904010827,69.9,4.687537292969413,50.87874522922053,1053.1,4.6953981,50.8785355,330.5
"(4.694036, 50.8606)",4.694644126514463,50.860305178297615,41.7,No AED,No AED,No AED,4.6998331,50.8723536,331.4
"(4.694036, 50.8606)",4.694644126514463,50.860305178297615,41.7,No AED,No AED,No AED,4.6998331,50.8723536,331.4
"(4.736733, 50.862799)",4.736849892126381,50.86347962585864,108.5,No AED,No AED,No AED,4.7243436,50.8696549,394.8
"(4.733566, 50.898585)",4.732766470755837,50.89759799518063,116.0,No AED,No AED,No AED,4.6658621,50.8774603,570.6
"(4.738449, 50.901604)",4.735387275046584,50.90094228232245,185.7,No AED,No AED,No AED,4.6658621,50.8774603,630.4
"(4.738449, 50.901604)",4.735387275046584,50.90094228232245,185.7,No AED,No AED,No AED,4.6658621,50.8774603,630.4
"(4.698003, 50.868334)",4.697632710908837,50.8684230306322,21.8,4.69839087574385,50.869884641904775,629.7,4.6998331,50.8723536,106.1
"(4.698003, 50.868334)",4.697632710908837,50.8684230306322,21.8,4.69839087574385,50.869884641904775,629.7,4.6998331,50.8723536,106.1
"(4.712916, 50.869559)",4.713199078517793,50.87074673400558,104.7,4.71127648223819,50.86844198648809,207.1,4.6998331,50.8723536,281.2
"(4.712916, 50.869559)",4.713199078517793,50.87074673400558,104.7,4.71127648223819,50.86844198648809,207.1,4.6998331,50.8723536,281.2
"(4.693243, 50.885472)",4.692676309500147,50.88471530853533,76.8,4.692743059043681,50.88384196845661,614.0,4.6953981,50.8785355,422.7
"(4.693243, 50.885472)",4.692676309500147,50.88471530853533,76.8,4.692743059043681,50.88384196845661,614.0,4.6953981,50.8785355,422.7
"(4.734176, 50.878237)",4.7338647354405845,50.87873285003789,25.6,4.734472996366415,50.87866410106245,757.6,4.7243436,50.8696549,524.3
"(4.734176, 50.878237)",4.7338647354405845,50.87873285003789,25.6,4.734472996366415,50.87866410106245,757.6,4.7243436,50.8696549,524.3
"(4.715765, 50.877798)",4.715152893102597,50.87804774365503,36.9,4.7145957206018725,50.87678704192316,213.2,4.6998331,50.8723536,502.9
"(4.715765, 50.877798)",4.715152893102597,50.87804774365503,36.9,4.7145957206018725,50.87678704192316,213.2,4.6998331,50.8723536,502.9
"(4.700611, 50.877705)",4.700232569044397,50.87696412436559,64.6,4.7007499567101725,50.87741818931234,52.7,4.6998331,50.8723536,199.5
"(4.700611, 50.877705)",4.700232569044397,50.87696412436559,64.6,4.7007499567101725,50.87741818931234,52.7,4.6998331,50.8723536,199.5
"(4.712741, 50.876974)",4.713007898945825,50.87786488848091,82.2,4.71432106950603,50.877010221660754,121.9,4.6998331,50.8723536,473.8
"(4.712741, 50.876974)",4.713007898945825,50.87786488848091,82.2,4.71432106950603,50.877010221660754,121.9,4.6998331,50.8723536,473.8
"(4.700399, 50.923948)",4.701941140387981,50.92574482160425,198.3,4.70061811569255,50.9260633745327,303.4,4.6658621,50.8774603,622.0
"(4.700399, 50.923948)",4.701941140387981,50.92574482160425,198.3,4.70061811569255,50.9260633745327,303.4,4.6658621,50.8774603,622.0
"(4.71539, 50.88122)",4.713584158423906,50.88193167562493,179.6,4.713036380759278,50.88107392129124,224.4,4.6998331,50.8723536,353.9
"(4.71539, 50.88122)",4.713584158423906,50.88193167562493,179.6,4.713036380759278,50.88107392129124,224.4,4.6998331,50.8723536,353.9
"(4.71745, 50.874271)",4.718111549997859,50.87442707698903,27.6,4.716657577915802,50.87454669645348,457.7,4.7243436,50.8696549,337.3
"(4.71745, 50.874271)",4.718111549997859,50.87442707698903,27.6,4.716657577915802,50.87454669645348,457.7,4.7243436,50.8696549,337.3
"(4.69952, 50.866911)",4.7005438225704665,50.86634289875791,97.7,4.699123317280976,50.86739641966556,967.7,4.6998331,50.8723536,327.8
"(4.69952, 50.866911)",4.7005438225704665,50.86634289875791,97.7,4.699123317280976,50.86739641966556,967.7,4.6998331,50.8723536,327.8
"(4.711828, 50.871651)",4.712237919462349,50.872168096159335,45.4,4.71317163241377,50.87210744545379,494.7,4.6998331,50.8723536,275.6
