WKT,naam,beschrijving
"POINT (4.6997586 50.8735154)",Amerikaans College,Naamsestraat 100
3000 Leuven 
www.kuleuven.be/amerikaanscollege

"POINT (4.6874124 50.8785708)",COPAL
,Tervuursestraat 56 - bus 5557 
3000 Leuven 
www.kuleuven.be/copal

"POINT (4.7081083 50.8672101)",Don Bosco Peda
,Paul Van Ostaijenlaan 21 
3001 Leuven 
www.kuleuven.be/dbp

"POINT (4.7004372 50.8768039)",Heilige Geestcollege,Naamsestraat 40 - bus 5551 
3000 Leuven 
www.kuleuven.be/hgc

"POINT (4.6969504 50.8763047)",J.L. Vives International Residence
,Pater Damiaanplein 10 
3000 Leuven 
www.kuleuven.be/vives

"POINT (4.7021216 50.877288)",Paus Adrianus VI-college (Pauscollege)
,Hogeschoolplein 3 - bus 5553 
3000 Leuven 
www.kuleuven.be/pauscollege

"POINT (4.6791887 50.8674844)",Residentie Groenveld
,Celestijnenlaan 76 - bus 5555 
3001 Leuven 
www.kuleuven.be/groenveld

"POINT (4.7065634 50.876296200000006)",Residentie Leo XIII,Tiensestraat 112 - bus 5552 
3000 Leuven 
www.kuleuven.be/leoxiii

"POINT (4.6964622 50.877733)",Residentie Mgr. Karel Cruysberghs
,Minderbroedersstraat 8A - bus 5558 
3000 Leuven 
www.kuleuven.be/mkc

"POINT (4.7034466 50.883552900000005)",Residentie Rega,Sint Maartenstraat 55d
3000 Leuven
www.kuleuven.be/residentierega

"POINT (4.7032428 50.888592)",Residentie Waterview,Engels plein
3000 Leuven
www.kuleuven.be/waterview 

"POINT (4.6815223 50.8640614)",Sint-Janshuis (Studentenhuis UP)
,Celestijnenlaan 101
3001 Heverlee
www.kuleuven.be/stuvo/residenties/sint-janshuis
"POINT (4.6970844000000005 50.8717635)",Universitair Centrum Groot Begijnhof,Groot Begijnhof 94 - bus 5550 
3000 Leuven 
www.kuleuven.be/grootbegijnhof

"POINT (4.7185422 50.8790074)",Residentie Studax,Martelarenlaan 40
3010 Kessel-Lo (Leuven)
www.kuleuven.be/studax

"POINT (4.697976 50.8732319)",Loyola International Nachbahr House,
"POINT (4.7085463 50.8752409)",Vesalius KUL,
