duration_Responder,duration_AED,duration_vector
42.7,413.2,547.0
89.8,272.70000000000005,509.0
27.8,417.29999999999995,759.0
152.2,405.1,702.0
186.8,315.90000000000003,530.0
85.8,290.79999999999995,541.0
393.9,1127.4,369.0
164.3,615.9,415.0
164.3,50.868071,1185.0
176.3,1033.7,493.0
75.3,218.1,930.0
46.2,551.9,1212.0
88.8,313.9,598.0
177.8,199.2,482.0
17.6,432.6,616.0
589.6,1027.3,478.0
103.9,686.2,1297.0
97.8,839.7,545.0
66.9,1419.4,2010.0
73.2,684.0,788.0
319.6,1132.7,677.0
83.2,460.1,512.0
130.4,421.8,367.0
70.3,516.7,347.0
20.6,442.0,703.0
70.9,506.5,1043.0
