,CD_REFNIS,CD_SECTOR,TOTAL,DT_STRT_SECTOR,DT_STOP_SECTOR,OPPERVLAKKTE IN HM²,TX_DESCR_SECTOR_NL,TX_DESCR_SECTOR_FR,TX_DESCR_NL,TX_DESCR_FR,TX_DESCR_SECTOR_NLL,TX_DESCR_SECTOR_FRR,SECTOR
4215,24062,24062A55-,480,01Mar1981,31Dec9999,25.3308848,KEIZERSBERG,KEIZERSBERG,Leuven,Louvain,KEIZERSBERG,KEIZERSBERG,A55-
4216,24062,24062A61-,824,01Mar1981,31Dec9999,145.2565532,KAREELVELD,KAREELVELD,Leuven,Louvain,KAREELVELD,KAREELVELD,A61-
4217,24062,24062B00-,690,01Mar1981,31Dec9999,33.37178969,WILSELE-CENTRUM,WILSELE-CENTRUM,Leuven,Louvain,WILSELE-CENTRUM,WILSELE-CENTRUM,B00-
4218,24062,24062B08-,42,01Mar1981,31Dec9999,31.16268655,VAARTDIJK,VAARTDIJK,Leuven,Louvain,VAARTDIJK,VAARTDIJK,B08-
4219,24062,24062B091,64,01Mar1981,31Dec9999,52.59455132,PUTHOF,PUTHOF,Leuven,Louvain,PUTHOF,PUTHOF,B091
4220,24062,24062B100,2608,01Mar1981,31Dec9999,97.86312647,PUTKAPEL-CENTRUM,PUTKAPEL-CENTRUM,Leuven,Louvain,PUTKAPEL-CENTRUM,PUTKAPEL-CENTRUM,B100
4221,24062,24062B11-,523,01Mar1981,31Dec9999,32.55454735,NIEUWE STEENWEG,NIEUWE STEENWEG,Leuven,Louvain,NIEUWE STEENWEG,NIEUWE STEENWEG,B11-
4222,24062,24062B122,1335,01Mar1981,31Dec9999,64.29831562,KWADE HOEK,KWADE HOEK,Leuven,Louvain,KWADE HOEK,KWADE HOEK,B122
4223,24062,24062B132,556,01Mar1981,31Dec9999,26.6850361,DRAAK,DRAAK,Leuven,Louvain,DRAAK,DRAAK,B132
4224,24062,24062B191,213,01Mar1981,31Dec9999,191.5417293,PUTKAPEL-VERSPREIDE BEWONING,PUTKAPEL-VERSPREIDE BEWONING,Leuven,Louvain,PUTKAPEL-VERSPREIDE BEWONING,PUTKAPEL-VERSPREIDE BEWONING,B191
4225,24062,24062B27-,5,01Mar1981,31Dec9999,36.90651007,WILSELE INDUSTRIEZONE,WILSELE INDUSTRIEZONE,Leuven,Louvain,WILSELE INDUSTRIEZONE,WILSELE INDUSTRIEZONE,B27-
4226,24062,24062B300,429,01Mar1981,31Dec9999,29.57797012,SINT-MARTINUS,SINT-MARTINUS,Leuven,Louvain,SINT-MARTINUS,SINT-MARTINUS,B300
4227,24062,24062B32-,613,01Mar1981,31Dec9999,20.60669498,WILSELE OUD CENTRUM,WILSELE OUD CENTRUM,Leuven,Louvain,WILSELE OUD CENTRUM,WILSELE OUD CENTRUM,B32-
4228,24062,24062B33-,1214,01Mar1981,31Dec9999,21.51181729,WILSELE MECHELSE POORT,WILSELE MECHELSE POORT,Leuven,Louvain,WILSELE MECHELSE POORT,WILSELE MECHELSE POORT,B33-
4229,24062,24062B34-,813,01Mar1981,31Dec9999,65.12812033,ROESELBERG,ROESELBERG,Leuven,Louvain,ROESELBERG,ROESELBERG,B34-
4230,24062,24062B352,619,01Mar1981,31Dec9999,18.49922425,KOKSIJDEWIJK,KOKSIJDEWIJK,Leuven,Louvain,KOKSIJDEWIJK,KOKSIJDEWIJK,B352
4231,24062,24062B37-,51,01Mar1981,31Dec9999,17.89936666,ZWAAIKOM,ZWAAIKOM,Leuven,Louvain,ZWAAIKOM,ZWAAIKOM,B37-
4232,24062,24062B391,109,01Mar1981,31Dec9999,137.1889934,LANGEVELD-VERSPREIDE BEWONING,LANGEVELD-VERSPREIDE BEWONING,Leuven,Louvain,LANGEVELD-VERSPREIDE BEWONING,LANGEVELD-VERSPREIDE BEWONING,B391
4233,24062,24062B423,329,01Mar1981,31Dec9999,16.31922945,WILSELE HOEK,WILSELE HOEK,Leuven,Louvain,WILSELE HOEK,WILSELE HOEK,B423
4234,24062,24062C00-,1572,01Mar1981,31Dec9999,18.44090809,BLAUWPUT-CENTRUM,BLAUWPUT-CENTRUM,Leuven,Louvain,BLAUWPUT-CENTRUM,BLAUWPUT-CENTRUM,C00-
4235,24062,24062C01-,648,01Mar1981,31Dec9999,8.584843791,CENTRALE WERKPLAATSEN,CENTRALE WERKPLAATSEN,Leuven,Louvain,CENTRALE WERKPLAATSEN,CENTRALE WERKPLAATSEN,C01-
4236,24062,24062C02-,1333,01Mar1981,31Dec9999,26.15055947,KESSEL-LO SPORTSTADION,KESSEL-LO SPORTSTADION,Leuven,Louvain,KESSEL-LO SPORTSTADION,KESSEL-LO SPORTSTADION,C02-
4237,24062,24062C03-,694,01Mar1981,31Dec9999,10.56544985,JEUGDSQUARE,JEUGDSQUARE,Leuven,Louvain,JEUGDSQUARE,JEUGDSQUARE,C03-
4238,24062,24062C04-,1617,01Mar1981,31Dec9999,32.6056798,VIJVERPARK,VIJVERPARK,Leuven,Louvain,VIJVERPARK,VIJVERPARK,C04-
4239,24062,24062C05-,1234,01Mar1981,31Dec9999,13.36601936,KESSEL-LO ACHTER CENTRALE,KESSEL-LO ACHTER CENTRALE,Leuven,Louvain,KESSEL-LO ACHTER CENTRALE,KESSEL-LO ACHTER CENTRALE,C05-
4240,24062,24062C0AJ,157,01Oct2001,31Dec9999,99.82364374,VORMINGSSTATION,VORMINGSSTATION,Leuven,Louvain,VORMINGSSTATION,VORMINGSSTATION,C0AJ
4241,24062,24062C10-,502,01Mar1981,31Dec9999,12.40101255,HEFFEL,HEFFEL,Leuven,Louvain,HEFFEL,HEFFEL,C10-
4242,24062,24062C11-,1132,01Mar1981,31Dec9999,35.06668881,VLIERBEEK,VLIERBEEK,Leuven,Louvain,VLIERBEEK,VLIERBEEK,C11-
4243,24062,24062C12-,1062,01Mar1981,31Dec9999,25.22820379,HEUVELHOF,HEUVELHOF,Leuven,Louvain,HEUVELHOF,HEUVELHOF,C12-
4244,24062,24062C13-,1858,01Mar1981,31Dec9999,93.22455948,PINKSTERMOLEN,PINKSTERMOLEN,Leuven,Louvain,PINKSTERMOLEN,PINKSTERMOLEN,C13-
4245,24062,24062C14-,656,01Mar1981,31Dec9999,19.79994842,RERUM NOVARUM,RERUM NOVARUM,Leuven,Louvain,RERUM NOVARUM,RERUM NOVARUM,C14-
4246,24062,24062C2MA,328,01Oct2001,31Dec9999,39.58024661,ZAVELSTRAAT,ZAVELSTRAAT,Leuven,Louvain,ZAVELSTRAAT,ZAVELSTRAAT,C2MA
4247,24062,24062C2PA,464,01Oct2001,31Dec9999,50.77890515,LOBERGEN,LOBERGEN,Leuven,Louvain,LOBERGEN,LOBERGEN,C2PA
4248,24062,24062C32-,746,01Mar1981,31Dec9999,78.78538736,BENEDEN-LO,BENEDEN-LO,Leuven,Louvain,BENEDEN-LO,BENEDEN-LO,C32-
4249,24062,24062C39-,669,01Mar1981,31Dec9999,101.5562021,BOVEN-LO,BOVEN-LO,Leuven,Louvain,BOVEN-LO,BOVEN-LO,C39-
4250,24062,24062C40-,558,01Mar1981,31Dec9999,12.50209277,KLEIN RIJSEL,KLEIN RIJSEL,Leuven,Louvain,KLEIN RIJSEL,KLEIN RIJSEL,C40-
4251,24062,24062C41-,3414,01Mar1981,31Dec9999,54.77250551,BELLE VUE,BELLE VUE,Leuven,Louvain,BELLE VUE,BELLE VUE,C41-
4252,24062,24062C42-,821,01Mar1981,31Dec9999,13.52560091,PASTEURWIJK,PASTEURWIJK,Leuven,Louvain,PASTEURWIJK,PASTEURWIJK,C42-
4253,24062,24062C43-,2767,01Mar1981,31Dec9999,73.22971766,TROLIEBERG,TROLIEBERG,Leuven,Louvain,TROLIEBERG,TROLIEBERG,C43-
4254,24062,24062C44-,1833,01Mar1981,31Dec9999,37.32624436,DON BOSCO,DON BOSCO,Leuven,Louvain,DON BOSCO,DON BOSCO,C44-
4255,24062,24062C50-,2189,01Mar1981,31Dec9999,81.74708284,BENEDEN KESSEL,BENEDEN KESSEL,Leuven,Louvain,BENEDEN KESSEL,BENEDEN KESSEL,C50-
4256,24062,24062C51-,2533,01Mar1981,31Dec9999,42.06540764,HET BROEK,HET BROEK,Leuven,Louvain,HET BROEK,HET BROEK,C51-
4257,24062,24062C52-,381,01Mar1981,31Dec9999,45.03409319,BRUINE VELD,BRUINE VELD,Leuven,Louvain,BRUINE VELD,BRUINE VELD,C52-
4258,24062,24062C58-,0,01Mar1981,31Dec9999,10.64851801,DIJLEDREEF,DIJLEDREEF,Leuven,Louvain,DIJLEDREEF,DIJLEDREEF,C58-
4259,24062,24062C59-,61,01Mar1981,31Dec9999,18.22189645,BARREEL,BARREEL,Leuven,Louvain,BARREEL,BARREEL,C59-
4260,24062,24062C61-,532,01Mar1981,31Dec9999,103.2187904,KESSELBERG - LEMING,KESSELBERG - LEMING,Leuven,Louvain,KESSELBERG - LEMING,KESSELBERG - LEMING,C61-
4261,24062,24062C63-,300,01Mar1981,31Dec9999,37.92056114,PLEIN,PLEIN,Leuven,Louvain,PLEIN,PLEIN,C63-
4262,24062,24062C68-,675,01Mar1981,31Dec9999,134.0720725,SCHOOLBERGEN,SCHOOLBERGEN,Leuven,Louvain,SCHOOLBERGEN,SCHOOLBERGEN,C68-
