id,type,address,number,postal_code,municipality,province,location,public,available,hours,complete_address,latitude,longitude
3079.0,,Pellenbergstraat,193,3010.0,Leuven,Vlaams-Brabant,glvl - inkomhal,Y,,,"193 Pellenbergstraat, Leuven, Vlaams-Brabant, Belgium",50.8674498,4.743396499999999
3080.0,,Hertogstraat ,180,3001.0,Leuven,Vlaams-Brabant,glvl - inkomhal,N,,,"180 Hertogstraat, Leuven, Vlaams-Brabant, Belgium",50.8560364,4.704471000000001
3081.0,,Pastoor Bellonstraat ,29,3018.0,Leuven,Vlaams-Brabant,glvl - inkomhal,N,,,"29 Pastoor Bellonstraat, Leuven, Vlaams-Brabant, Belgium",50.92585949999999,4.7063333
3082.0,,Domeinstraat ,61,3010.0,Leuven,Vlaams-Brabant,glvl - personeelslokaal,N,,,"61 Domeinstraat, Leuven, Vlaams-Brabant, Belgium",50.8988012,4.720390099999999
3083.0,,Celestijnenlaan,19,3000.0,Leuven,Vlaams-Brabant,glvl-wachtruimte bezoekers,Y,,,"19 Celestijnenlaan, Leuven, Vlaams-Brabant, Belgium",50.8718562,4.676585999999999
3185.0,,P. Van Overstraetenplein,1,3000.0,Leuven,Vlaams-Brabant,EHBO-lokaal,N,,,"1 P. Van Overstraetenplein, Leuven, Vlaams-Brabant, Belgium",50.8797741,4.7160817
3213.0,,Kardinaal Mercierlaan ,46,3001.0,Heverlee,Vlaams-Brabant,tgo secretariaat,Y,,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
3214.0,,Domeinstraat ,61,3010.0,Kessel-Lo,Vlaams-Brabant,nst veld aan de cafetaria,N,,,"61 Domeinstraat, Kessel-Lo, Vlaams-Brabant, Belgium",50.8988012,4.720390099999999
3336.0,,Tiensevest ,170,3000.0,Leuven,Vlaams-Brabant,inkomhal,N,,,"170 Tiensevest, Leuven, Vlaams-Brabant, Belgium",50.8744331,4.714348600000001
3402.0,,Bondgenotenlaan ,145,3000.0,Leuven,Vlaams-Brabant,foyerverd 1 thv shop,N,,,"145 Bondgenotenlaan, Leuven, Vlaams-Brabant, Belgium",50.8813563,4.711944799999999
3937.0,,Technologielaan ,8,3001.0,Heverlee,Vlaams-Brabant,"EHBO-lokaal,glvl productiegeb",N,,,"8 Technologielaan, Heverlee, Vlaams-Brabant, Belgium",50.8524681,4.7300619
