,patient_loc,responder_loc,duration_Responder,Indirect_Responder_loc,aed_loc,duration_AED,vector_loc,duration_Vector,prob_vec,prob_resp
0,"(4.724486, 50.875134)","(4.724018497960871, 50.87511476476981)",17.44,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",641.37,0.3242465057909876,0.7065473829224057
1,"(4.663458, 50.872624)","(4.664282025034112, 50.873007127161955)",67.31,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",621.19,0.33594259605419413,0.670738432233744
2,"(4.706287, 50.868107)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",618.41,0.3375865777840803,0.3375865777840803
3,"(4.729334, 50.886379)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1978.53,0.030983028750326103,0.030983028750326103
4,"(4.7093, 50.870361)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",750.8,0.2675600498019277,0.2675600498019277
5,"(4.710888, 50.862229)","(4.713319820579209, 50.86436005029492)",399.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1305.21,0.1010681762621788,0.31327055483501814
6,"(4.741317, 50.886149)","(4.74094296395747, 50.88534186228305)",108.09,"(4.738168036739563, 50.883142311880675)","(4.7346682, 50.8825443)",1023.94,"(4.7243436, 50.8696549)",1968.98,0.03150699160706926,0.5195764136295012
7,"(4.674596, 50.871597)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",779.19,0.25454838667826796,0.25454838667826796
8,"(4.702134, 50.897263)","(4.7021947181546615, 50.897919512419364)",52.47,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1815.57,0.04124784031599309,0.3726254263216135
9,"(4.70586, 50.881605)","(4.705948965290556, 50.88152521302686)",7.78,"(4.704841425732339, 50.88107995682217)","(4.7046611, 50.8810353)",174.16,"(4.6953981, 50.8785355)",716.58,0.2841307843631432,0.9065354625824839
10,"(4.735139, 50.879159)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1102.01,0.14440419076859629,0.14440419076859629
11,"(4.657334, 50.861426)","(4.65994244655832, 50.861798228164055)",164.74,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",1671.87,0.053087271447934674,0.3484067666575764
12,"(4.712731, 50.879035)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1008.44,0.170191789070949,0.170191789070949
13,"(4.728813, 50.898917)","(4.731389569663785, 50.89941534276695)",213.16,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4760.57,0.00023413754087790495,0.06837013286323698
14,"(4.711828, 50.871651)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",859.22,0.22117573678397195,0.22117573678397195
15,"(4.693275, 50.875681)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",321.83,0.5682827152913023,0.5682827152913023
16,"(4.717382, 50.882139)","(4.716176008945238, 50.8818272333218)",80.11,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1200.4,0.1214912887145907,0.49194274508506286
17,"(4.735101, 50.876686)","(4.734179152792106, 50.87660880570699)",76.97,"(4.733752377826338, 50.88169951092022)","(4.7346682, 50.8825443)",822.3299999999999,"(4.7243436, 50.8696549)",1034.15,0.1626790093063426,0.5983708522302902
18,"(4.69352, 50.85851)","(4.693703989579536, 50.86045913563514)",229.08,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1323.73,0.09783418173331562,0.3836712140111539
19,"(4.653801, 50.856571)","(4.658620157605025, 50.85471942197804)",449.15,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",2178.93,0.021791837489887545,0.18884285612472324
20,"(4.699619, 50.879152)","(4.699116860216405, 50.87915237047175)",12.89,"(4.704841425732339, 50.88107995682217)","(4.7046611, 50.8810353)",399.40000000000003,"(4.6953981, 50.8785355)",289.84,0.6011194987775799,0.8493961650590889
21,"(4.696876, 50.893705)","(4.697513711015078, 50.89438179925439)",62.88,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1590.33,0.061259695526855604,0.4123704863667256
22,"(4.726534, 50.887677)","(4.727460364758071, 50.88726554792512)",123.19,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1975.32,0.031158166646046884,0.3145655186830689
23,"(4.68137, 50.86165)","(4.681229385296541, 50.86146217647918)",14.94,"(4.6782206373251585, 50.85826721925657)","(4.678102, 50.858007)",444.20000000000005,"(4.6998331, 50.8723536)",1509.35,0.07062072856766888,0.7833700480075179
24,"(4.684591, 50.885531)","(4.683228912883082, 50.88484642122443)",103.48,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",1048.05,0.1587563237665051,0.5162180649738743
25,"(4.695739, 50.856026)","(4.696137115174543, 50.855904557826115)",203.09,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1739.27,0.04716170418143468,0.3209484134124886
26,"(4.722256, 50.880999)","(4.7196820431586, 50.880898936793564)",166.62,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1284.55,0.10480216595446315,0.42311672923282545
27,"(4.690636, 50.876538)","(4.6916814178302575, 50.87548560488421)",115.34,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",396.32,0.4986048772297583,0.7080939474754696
28,"(4.72935, 50.900387)","(4.73165939398878, 50.90131004028273)",296.59,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4932.39,0.00017315572386060823,0.05646160157915857
29,"(4.726644, 50.873674)","(4.727427322357676, 50.87414182485364)",54.59,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",479.27,0.43101937383784716,0.732383657732694
30,"(4.695989, 50.865144)","(4.695272437246681, 50.86449636365715)",52.47,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",645.3,0.32201654721233053,0.6749680176472742
31,"(4.736791, 50.863533)","(4.736999344099939, 50.86365482644015)",7.19,"(4.742147414229536, 50.86630244781038)","(4.7433965, 50.8674498)",721.0899999999999,"(4.7243436, 50.8696549)",987.57,0.17654465929105068,0.6872621276102224
32,"(4.722139, 50.86866)","(4.7242072799360715, 50.86875566382134)",112.45,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",295.54,0.5951327554272592,0.7479572626995964
33,"(4.73756, 50.862344)","(4.736999344099939, 50.86365482644015)",168.33,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1123.22,0.1391247907700746,0.4582492003543262
34,"(4.699796, 50.87634)","(4.6991842117560765, 50.87605784141918)",38.41,"(4.704841425732339, 50.88107995682217)","(4.7046611, 50.8810353)",600.8599999999999,"(4.6998331, 50.8723536)",361.24,0.5302850723898143,0.7934743569044113
35,"(4.684785, 50.879319)","(4.6845828717296465, 50.87970995840155)",62.3,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",709.19,0.2878419497744181,0.6454579068808475
36,"(4.700753, 50.887833)","(4.700513741399315, 50.88797973948273)",20.98,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",901.45,0.20536755637872645,0.6164274149956094
