patient_loc,responder_loc_run1,duration_Responder_run1,Indirect_Responder_loc_run1,aed_loc_run1,duration_AED_run1,vector_loc_run1,duration_Vector_run1,prob_vec_run1,prob_resp_run1,filter_values_run1,opening_hour_run1,decline_rate_run1,max_number_responder_run1,proportion_of_CFR_run1,responder_loc_run2,duration_Responder_run2,Indirect_Responder_loc_run2,aed_loc_run2,duration_AED_run2,vector_loc_run2,duration_Vector_run2,prob_vec_run2,prob_resp_run2,filter_values_run2,opening_hour_run2,decline_rate_run2,max_number_responder_run2,proportion_of_CFR_run2,responder_loc_run3,duration_Responder_run3,Indirect_Responder_loc_run3,aed_loc_run3,duration_AED_run3,vector_loc_run3,duration_Vector_run3,prob_vec_run3,prob_resp_run3,filter_values_run3,opening_hour_run3,decline_rate_run3,max_number_responder_run3,proportion_of_CFR_run3
"(4.724486, 50.875134)","(4.725627399942512, 50.875665428689274)",70.21,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",641.37,0.3242465057909876,0.6615030315988851,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.663458, 50.872624)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",621.19,0.33594259605419413,0.33594259605419413,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.706287, 50.868107)","(4.706210120056197, 50.867528357515795)",45.5,"(4.711351688478993, 50.867998281594566)","(4.7116128, 50.867677)",427.8,"(4.6998331, 50.8723536)",618.41,0.3375865777840803,0.7603516099148999,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.729334, 50.886379)","(4.728803476248587, 50.88638481081581)",21.43,"(4.729147521158272, 50.886756181837725)","(4.7296864, 50.8869565)",123.48,"(4.7243436, 50.8696549)",1978.53,0.030983028750326103,0.914445599456675,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.7093, 50.870361)","(4.709061875751839, 50.870673974785696)",25.36,"(4.708666216260593, 50.87447174286619)","(4.7082684, 50.8740913)",398.90999999999997,"(4.6998331, 50.8723536)",750.8,0.2675600498019277,0.7912302018332347,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.710888, 50.862229)","(4.7094351528665745, 50.86225917075128)",63.55,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1305.21,0.1010681762621788,0.47619524088292076,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.741317, 50.886149)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1968.98,0.03150699160706926,0.03150699160706926,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.674596, 50.871597)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",779.19,0.25454838667826796,0.25454838667826796,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.702134, 50.897263)","(4.701938655707408, 50.89726539404028)",1.23,"(4.70539204868762, 50.89504565589137)","(4.7062523, 50.8958652)",324.0,"(4.6953981, 50.8785355)",1815.57,0.04124784031599309,0.8470333615265585,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4.70586, 50.881605)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",716.58,0.2841307843631432,0.2841307843631432,Yes,8.0,0.76,100.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
