,patient_loc,responder_loc,duration_Responder,Indirect_Responder_loc,aed_loc,duration_AED,vector_loc,duration_Vector,prob_vec,prob_resp
36,"(4.700753, 50.887833)","(4.701534958001673, 50.888135338412994)",136.78,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",901.45,0.20536755637872645,0.5334583795132641
37,"(4.733566, 50.898585)","(4.728418455943686, 50.89504089685968)",464.62,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4797.95,0.00021926238615599752,0.049011188383557114
38,"(4.736733, 50.862799)","(4.739329808526216, 50.862644751702376)",261.83,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1051.71,0.15773927002893529,0.4228401599899322
39,"(4.694036, 50.8606)","(4.693653422445719, 50.860472109784745)",20.54,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1093.24,0.14664525564557862,0.5595467035386463
40,"(4.700977, 50.883089)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",595.89,0.35120402335812007,0.35120402335812007
41,"(4.696672, 50.879098)","(4.695984812670818, 50.87892526476734)",32.31,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",584.07,"(4.6953981, 50.8785355)",112.46,0.8207959600741862,0.9071703202236034
42,"(4.705947, 50.886687)","(4.704772559517165, 50.88673789746854)",61.5,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",568.71,"(4.6953981, 50.8785355)",1063.21,0.1545858153720083,0.6938625179605873
43,"(4.70821, 50.861866)","(4.707858779348324, 50.86243838470592)",70.96,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1370.94,0.09005070105048854,0.4563269584366148
44,"(4.716699, 50.873174)","(4.716894802006516, 50.87408352162604)",88.13,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",530.9,0.39366107220728275,0.684182380290994
45,"(4.730246, 50.87455)","(4.731672809818316, 50.87467557364123)",71.69,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",639.01,0.3255930299592979,0.6610735226028196
46,"(4.681497, 50.854151)","(4.681677898796775, 50.853492913962704)",58.43,"(4.6786772138702695, 50.858372927037976)","(4.678102, 50.858007)",540.09,"(4.6998331, 50.8723536)",1817.73,0.04109168447696508,0.7067205543167999
47,"(4.698357, 50.880213)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",246.21,0.6489842205850548,0.6489842205850548
48,"(4.690584, 50.89003)","(4.693383631820225, 50.89031651211339)",183.13,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1218.41,0.11770916134045047,0.4286385200083902
49,"(4.71745, 50.874271)","(4.716884197401436, 50.87403983660832)",55.24,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",622.76,0.33501770018341315,0.6803789168962017
50,"(4.71539, 50.88122)","(4.713838927842828, 50.88189033223252)",124.77,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1253.33,0.11070810218341795,0.4529314094597506
51,"(4.700399, 50.923948)","(4.698958911649806, 50.92475472946036)",125.35,"(4.705310597508888, 50.92660567385246)","(4.7063333, 50.9258595)",552.54,"(4.6658621, 50.8774603)",5255.08,9.825291448171604e-05,0.64598424886954
52,"(4.735979, 50.888449)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1989.57,0.03038816611297572,0.03038816611297572
53,"(4.730961, 50.850728)","(4.730951140264668, 50.851053195964994)",5.07,"(4.724937791497327, 50.84879365499075)","(4.7247521, 50.8495093)",634.97,"(4.7243436, 50.8696549)",2242.39,0.019493852651283155,0.7198777472919791
54,"(4.663558, 50.876016)","(4.664107087975868, 50.87418300765163)",147.72,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",329.28,0.5608967089500483,0.7035846016857986
55,"(4.734176, 50.878237)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1013.43,0.16870700114663553,0.16870700114663553
56,"(4.715765, 50.877798)","(4.715560030669036, 50.878099988591984)",27.16,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",997.33,0.1735447042587813,0.5826297632376054
57,"(4.698003, 50.868334)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",355.28,0.5358640793443095,0.5358640793443095
58,"(4.738449, 50.901604)","(4.736386247892516, 50.90187190308756)",273.96,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",5236.88,0.00010144373102904758,0.049761204997313555
59,"(4.693243, 50.885472)","(4.69351212494624, 50.88488919246551)",66.6,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",725.35,0.27978863555987993,0.6367571808187218
60,"(4.688853, 50.879023)","(4.688099822844422, 50.878455184947065)",59.55,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",667.56,0.30967215760931,0.6615109840277683
61,"(4.69781, 50.878341)","(4.697731192736741, 50.87839861732798)",5.59,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",568.41,"(4.6953981, 50.8785355)",237.33,0.6591833756486127,0.8803288920064298
62,"(4.751553, 50.8913)","(4.750911060087764, 50.888621611274935)",216.32,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",2778.42,0.007605151757037435,0.18627732816912215
63,"(4.724385, 50.888254)","(4.728534665855544, 50.890360588471985)",269.98,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1911.7,0.03484095801840868,0.2704921948920948
64,"(4.696189, 50.857245)","(4.696304984171583, 50.856911592466844)",26.01,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1542.86,0.06658503543859712,0.44232607996393236
65,"(4.70384, 50.883037)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",755.41,0.26540284108665746,0.26540284108665746
66,"(4.695717, 50.855068)","(4.696356563272148, 50.85600584420958)",285.92,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1676.21,0.052684227015770684,0.2988350579328813
67,"(4.692755, 50.865466)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",705.34,0.28979453650833265,0.28979453650833265
68,"(4.692001, 50.884204)","(4.691656492158145, 50.88463254276959)",43.9,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",633.51,0.32875285715138064,0.6863234007309805
69,"(4.695317, 50.882767)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",431.84,0.46845522569367887,0.46845522569367887
70,"(4.709378, 50.923089)","(4.709702471844401, 50.92459578106968)",108.19,"(4.705310597508888, 50.92660567385246)","(4.7063333, 50.9258595)",490.99,"(4.6658621, 50.8774603)",5654.73,4.870375245258368e-05,0.6809187338075058
71,"(4.711803, 50.911063)","(4.712526913289516, 50.91064437191499)",319.23,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",3281.89,0.003141587462410712,0.12687217218034028
72,"(4.683485, 50.878128)","(4.684913959310785, 50.87660384269514)",161.69,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",817.6,0.23794573709676353,0.5396124893745229
73,"(4.712402, 50.925422)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",5797.79,3.788447850334724e-05,3.788447850334724e-05
74,"(4.692352, 50.86044)","(4.692974571259843, 50.86200869958058)",191.6,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1121.46,0.13955543150883354,0.4455267935655414
75,"(4.726803, 50.899691)","(4.722773123083194, 50.89973881729633)",267.32,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4834.63,0.00020558482607446505,0.061542521717432956
76,"(4.703247, 50.92814)","(4.703533200058876, 50.927780241528104)",24.29,"(4.705310597508888, 50.92660567385246)","(4.7063333, 50.9258595)",456.0,"(4.6658621, 50.8774603)",5637.12,5.02333621630473e-05,0.7696553027401519
77,"(4.724449, 50.930109)","(4.724128286845866, 50.93093158721289)",92.83,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",5858.32,3.406431276586102e-05,0.04550735972875128
78,"(4.71146, 50.925623)","(4.710110329451429, 50.92546993107025)",68.62,"(4.705310597508888, 50.92660567385246)","(4.7063333, 50.9258595)",450.71,"(4.6658621, 50.8774603)",5879.17,3.283967902493036e-05,0.7301782332250691
79,"(4.723903, 50.92664)","(4.723873477865652, 50.92702688318182)",33.28,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",5499.74,6.3938382845688e-05,0.05880624110516273
80,"(4.705716, 50.881539)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",717.55,0.28364722829116723,0.28364722829116723
81,"(4.694631, 50.875215)","(4.6933817692315225, 50.87527204900448)",63.93,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",425.27,0.4738910789694817,0.7440127330540822
82,"(4.720103, 50.920942)","(4.719247836889077, 50.920216962628835)",101.41,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",4081.31,0.0007717765938760187,0.11097094936522445
83,"(4.695938, 50.863516)","(4.694205367869587, 50.864102289870054)",105.56,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",776.83,0.2556054699422202,0.5908832639471415
84,"(4.738072, 50.885572)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1749.05,0.046358675451378874,0.046358675451378874
85,"(4.698691, 50.865606)","(4.697114301058408, 50.86564332678407)",108.43,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",630.97,0.33022245593281047,0.6340209696945028
86,"(4.72235, 50.873079)","(4.718007321375006, 50.87264119386415)",244.44,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",424.95,0.4741574439791302,0.5940004117085294
87,"(4.727432, 50.8866)","(4.730087594512614, 50.88445044949752)",225.15,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1878.38,0.03694032806024957,0.29094144223148566
88,"(4.738014, 50.8635)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1033.7,0.16280760969221617,0.16280760969221617
89,"(4.705532, 50.873549)","(4.706278228528955, 50.873731302564146)",56.97,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",531.14,0.39349520182786657,0.7112339570178378
90,"(4.684511, 50.879585)","(4.6867738174814635, 50.88079943976896)",199.81,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",676.31,0.30495038967468957,0.5527967144583198
91,"(4.705443, 50.884881)","(4.705418497750447, 50.88423314184672)",82.72,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",420.07,"(4.6953981, 50.8785355)",914.58,0.2006866906209489,0.728684864550189
92,"(4.732497, 50.888458)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1953.49,0.0323757617955934,0.0323757617955934
93,"(4.723394, 50.903519)","(4.721328018127091, 50.903504460679784)",158.75,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",3472.98,0.002246048727148022,0.14068292429832144
94,"(4.694626, 50.887922)","(4.692626455050391, 50.88801814289074)",104.38,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",919.85,0.19883806972860585,0.5503128509672056
95,"(4.686702, 50.876262)","(4.688033555358277, 50.87621473673771)",66.86,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",684.6,0.3005432875435219,0.6498559332527479
96,"(4.750246, 50.873478)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1700.78,0.05045949735836313,0.05045949735836313
97,"(4.678568, 50.85102)","(4.681693569535117, 50.85349196689203)",319.97,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",2192.06,0.021295144303757625,0.2204150250593397
98,"(4.676986, 50.869398)","(4.6781707677805064, 50.86859109749425)",85.25,"(4.675574987109172, 50.87152725722024)","(4.676586, 50.8718562)",329.95,"(4.6658621, 50.8774603)",993.0,0.1748692837548515,0.7603909775366291
99,"(4.702772, 50.883669)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",766.13,0.26045351881841416,0.26045351881841416
100,"(4.700404, 50.86083)","(4.700121466638992, 50.86060274190509)",6.86,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1207.05,0.12008083070557947,0.5372311539505377
101,"(4.720739, 50.906094)","(4.719407556169554, 50.9061548802419)",121.86,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",3426.46,0.0024372298109761217,0.15083348109623818
102,"(4.706514, 50.876444)",No responder,10000.0,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",585.39,0.3577396216548967,0.3577396216548967
103,"(4.695014, 50.880518)",No responder,10000.0,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",224.72,0.6739426563353522,0.6739426563353522
