,patient_loc,responder_loc,duration_Responder,Indirect_Responder_loc,aed_loc,duration_AED,vector_loc,duration_Vector,prob_vec,prob_resp
0,"(4.724486, 50.875134)","(4.729292726923144, 50.875592440104846)",317.23,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",641.37,0.3242465057909876,0.4859695077668507
1,"(4.663458, 50.872624)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",621.19,0.33594259605419413,0.33594259605419413
2,"(4.706287, 50.868107)","(4.704724579404701, 50.86890084069135)",157.03,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",618.41,0.3375865777840803,0.6005152861690889
3,"(4.729334, 50.886379)","(4.728937782097354, 50.88725774356602)",111.99,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1978.53,0.030983028750326103,0.3184751311700561
4,"(4.7093, 50.870361)","(4.70957847475846, 50.87054434129006)",1.27,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",750.8,0.2675600498019277,0.6819959037773251
5,"(4.710888, 50.862229)","(4.710733772466053, 50.85987060937822)",321.87,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1305.21,0.1010681762621788,0.3449339126924957
6,"(4.741317, 50.886149)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1968.98,0.03150699160706926,0.03150699160706926
7,"(4.674596, 50.871597)","(4.677492637005521, 50.869299460450485)",245.62,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",779.19,0.25454838667826796,0.49550418137065344
8,"(4.702134, 50.897263)","(4.699313310634263, 50.89202035590883)",502.36,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1815.57,0.04124784031599309,0.21250195830348234
9,"(4.70586, 50.881605)","(4.706384582529997, 50.88271525625343)",160.26,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",716.58,0.2841307843631432,0.5690222686692664
10,"(4.735139, 50.879159)","(4.740000088094923, 50.87872002496534)",336.51,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1102.01,0.14440419076859629,0.37549009952928003
11,"(4.657334, 50.861426)","(4.647411595421992, 50.86007473260252)",627.58,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",1671.87,0.053087271447934674,0.19550422210483473
12,"(4.712731, 50.879035)","(4.7128188173701355, 50.87855175242645)",27.18,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1008.44,0.170191789070949,0.5793384986679287
13,"(4.728813, 50.898917)","(4.721597667084743, 50.90318095966405)",681.88,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4760.57,0.00023413754087790495,0.03808448783438248
14,"(4.711828, 50.871651)","(4.711720774052289, 50.87380903971963)",230.36,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",859.22,0.22117573678397195,0.4849269133957548
15,"(4.693275, 50.875681)","(4.692690023862319, 50.87539353487246)",51.82,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",321.83,0.5682827152913023,0.7960702242796068
16,"(4.717382, 50.882139)","(4.716666004204509, 50.882845733887336)",78.73,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1200.4,0.1214912887145907,0.49279096006654244
17,"(4.735101, 50.876686)","(4.729292726923144, 50.875592440104846)",446.18,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1034.15,0.1626790093063426,0.3389234804897015
18,"(4.69352, 50.85851)","(4.691736286589078, 50.86120762029356)",272.4,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1323.73,0.09783418173331562,0.363473803804461
19,"(4.653801, 50.856571)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",2178.93,0.021791837489887545,0.021791837489887545
20,"(4.699619, 50.879152)","(4.699325950909008, 50.879716361743114)",61.83,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",289.84,0.6011194987775799,0.7990561371983336
21,"(4.696876, 50.893705)","(4.699313310634263, 50.89202035590883)",295.16,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1590.33,0.061259695526855604,0.3085717067076587
22,"(4.726534, 50.887677)","(4.72800496932931, 50.88654278708737)",153.83,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1975.32,0.031158166646046884,0.3027607166716384
23,"(4.68137, 50.86165)","(4.68109925078526, 50.86094003900212)",84.87,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1509.35,0.07062072856766888,0.41804146727875097
24,"(4.684591, 50.885531)","(4.685665777568818, 50.88270152528853)",379.54,No AED,No AED,10000.0,"(4.6731993, 50.8780791)",1048.05,0.1587563237665051,0.36573475729954025
25,"(4.695739, 50.856026)","(4.694824605866955, 50.853792129645704)",226.29,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1739.27,0.04716170418143468,0.3117864708398524
26,"(4.722256, 50.880999)","(4.718782935162886, 50.88010476820165)",266.51,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1284.55,0.10480216595446315,0.3735119138991387
27,"(4.690636, 50.876538)","(4.691824595637418, 50.87779180380229)",136.92,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",396.32,0.4986048772297583,0.6892729009332973
28,"(4.72935, 50.900387)","(4.721661080464714, 50.90276685659824)",615.3,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",4932.39,0.00017315572386060823,0.03792829955559022
29,"(4.726644, 50.873674)","(4.7221081935267915, 50.872520097957135)",255.03,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",479.27,0.43101937383784716,0.5702553230659709
30,"(4.695989, 50.865144)","(4.696333706005272, 50.86587680534788)",81.86,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",645.3,0.32201654721233053,0.6506527898698655
31,"(4.736791, 50.863533)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",987.57,0.17654465929105068,0.17654465929105068
32,"(4.722139, 50.86866)","(4.727395416694168, 50.87042427248546)",385.46,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",295.54,0.5951327554272592,0.5951327554272592
33,"(4.73756, 50.862344)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1123.22,0.1391247907700746,0.1391247907700746
